com.samsung.shealth.step_daily_trend,6000085,5
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2018-05-11 04:07:05.366,4142.43,5242,0,1525651200000,6.9444447,OauJ3004CZ,com.sec.android.app.shealth,2018-05-11 04:07:05.366,0bdac34c-2a78-4a84-9d39-63cd5735dfa0.binning_data.json,0bdac34c-2a78-4a84-9d39-63cd5735dfa0,183.18,com.sec.android.app.shealth
2018-09-13 10:20:39.132,6681.25,8573,-2,1536796800000,1.5459445,VfS0qUERdZ,com.sec.android.app.shealth,2018-09-14 06:14:29.195,0c1d0854-630e-4002-97d6-3a4292a52c9d.binning_data.json,0c1d0854-630e-4002-97d6-3a4292a52c9d,276.93997,com.sec.android.app.shealth
2018-05-21 17:38:08.997,5940.16,7438,-2,1526860800000,1.6277615,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-22 06:54:23.031,0c79c32b-2792-4c82-b808-6b70ab77fc90.binning_data.json,0c79c32b-2792-4c82-b808-6b70ab77fc90,256.05997,com.sec.android.app.shealth
2018-05-11 04:07:05.378,10334.199,13320,-2,1517270400000,1.4710605,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.378,0cc917c1-778a-488a-a258-cc3299b39dba.binning_data.json,0cc917c1-778a-488a-a258-cc3299b39dba,433.84998,com.sec.android.app.shealth
2018-05-11 04:07:05.364,15372.068,20397,0,1524787200000,4.000001,OauJ3004CZ,com.sec.android.app.shealth,2018-05-11 04:07:05.364,0d9aabde-9a85-4c7f-a10d-417a981eec85.binning_data.json,0d9aabde-9a85-4c7f-a10d-417a981eec85,686.1599,com.sec.android.app.shealth
2018-05-11 04:07:05.398,25435.2,32377,-2,1524355200000,1.5307232,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.398,0ddfa013-0149-4240-ac10-0085c106ef71.binning_data.json,0ddfa013-0149-4240-ac10-0085c106ef71,1011.49994,com.sec.android.app.shealth
2018-05-11 04:07:05.339,7408.3306,9555,0,1515110400000,2.74637,OauJ3004CZ,com.sec.android.app.shealth,2018-05-11 04:07:05.339,0e0e2bb6-af8c-4fd4-af9c-b8ddd8993b03.binning_data.json,0e0e2bb6-af8c-4fd4-af9c-b8ddd8993b03,313.61996,com.sec.android.app.shealth
2018-06-30 07:15:49.919,14526.311,18061,-2,1530316800000,1.6523528,VfS0qUERdZ,com.sec.android.app.shealth,2018-07-01 04:10:31.801,0e424a5b-a920-43f3-9508-95785fcf16a0.binning_data.json,0e424a5b-a920-43f3-9508-95785fcf16a0,596.1,com.sec.android.app.shealth
2018-05-27 07:02:01.252,13755.17,17459,-2,1527379200000,1.5551771,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-28 06:59:36.708,0ed3815e-8977-4ee4-8b18-cb2e9eba1916.binning_data.json,0ed3815e-8977-4ee4-8b18-cb2e9eba1916,581.06995,com.sec.android.app.shealth
2018-08-25 22:02:58.355,7635.8794,9965,0,1535155200000,3.6296678,OauJ3004CZ,com.sec.android.app.shealth,2018-08-27 00:00:04.079,0f3a824d-3374-4e9b-a489-5c4047ccd587.binning_data.json,0f3a824d-3374-4e9b-a489-5c4047ccd587,325.12997,com.sec.android.app.shealth
2018-08-31 19:15:41.885,10358.72,12788,0,1535673600000,3.833333,OauJ3004CZ,com.sec.android.app.shealth,2018-09-01 07:00:16.517,0f67dc62-1d38-460b-8319-bab552f1c4d5.binning_data.json,0f67dc62-1d38-460b-8319-bab552f1c4d5,458.49997,com.sec.android.app.shealth
2018-07-01 01:34:38.041,14526.311,18061,0,1530316800000,3.0555556,OauJ3004CZ,com.sec.android.app.shealth,2018-07-01 07:16:42.673,0f7bf9fd-a860-4190-83f4-942ebc1cbbf1.binning_data.json,0f7bf9fd-a860-4190-83f4-942ebc1cbbf1,596.1,com.sec.android.app.shealth
2018-06-26 14:06:52.082,5508.15,7073,-2,1529971200000,1.5352299,VfS0qUERdZ,com.sec.android.app.shealth,2018-06-27 04:57:44.823,0fd57361-ba48-4f70-9e4b-e75dc74e2185.binning_data.json,0fd57361-ba48-4f70-9e4b-e75dc74e2185,227.21999,com.sec.android.app.shealth
2018-05-11 04:07:05.399,6843.05,8681,-2,1524614400000,1.5733272,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.399,101426c2-d185-43c4-bfaf-1cd41d865590.binning_data.json,101426c2-d185-43c4-bfaf-1cd41d865590,291.46,com.sec.android.app.shealth
2018-07-05 07:14:58.574,12483.141,15785,-2,1530748800000,1.5595526,VfS0qUERdZ,com.sec.android.app.shealth,2018-07-06 02:29:30.754,10194912-28ec-44f4-a495-cc73799a6dc6.binning_data.json,10194912-28ec-44f4-a495-cc73799a6dc6,508.20996,com.sec.android.app.shealth
2018-09-12 21:05:53.750,12205.069,15435,0,1536710400000,2.9444442,OauJ3004CZ,com.sec.android.app.shealth,2018-09-13 07:40:02.953,104a321c-d6f0-47c2-b279-4d209c75234c.binning_data.json,104a321c-d6f0-47c2-b279-4d209c75234c,518.88995,com.sec.android.app.shealth
2018-10-04 11:13:54.095,22090.99,27186,-2,1538611200000,1.6100531,VfS0qUERdZ,com.sec.android.app.shealth,2018-10-05 04:32:03.997,105eb44f-ac0b-4a5d-899b-7d61bf96db85.binning_data.json,105eb44f-ac0b-4a5d-899b-7d61bf96db85,980.0299,com.sec.android.app.shealth
2018-06-07 05:20:22.856,14835.439,19035,-2,1528329600000,1.479258,VfS0qUERdZ,com.sec.android.app.shealth,2018-06-08 04:45:17.588,10d28389-6271-4781-aed6-46deebfec7d3.binning_data.json,10d28389-6271-4781-aed6-46deebfec7d3,593.6699,com.sec.android.app.shealth
2018-07-25 07:19:22.768,9817.449,12705,0,1532390400000,3.141751,OauJ3004CZ,com.sec.android.app.shealth,2018-07-25 07:19:22.768,111c38c5-b6f3-434b-b882-237b5decaf9a.binning_data.json,111c38c5-b6f3-434b-b882-237b5decaf9a,402.68997,com.sec.android.app.shealth
2018-05-11 04:07:05.353,29574.32,37180,0,1520294400000,6.1747274,OauJ3004CZ,com.sec.android.app.shealth,2018-05-11 04:07:05.353,115e7fb7-5ae9-4621-a566-84689d33154b.binning_data.json,115e7fb7-5ae9-4621-a566-84689d33154b,1236.72,com.sec.android.app.shealth
2018-05-19 11:13:09.660,21588.02,28877,-2,1526688000000,1.4534045,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-20 23:17:07.314,11dd44d0-08b0-4338-bfe1-bb5246a328e6.binning_data.json,11dd44d0-08b0-4338-bfe1-bb5246a328e6,955.0899,com.sec.android.app.shealth
2018-09-17 00:06:34.548,10158.55,13312,0,1537056000000,5.7777777,OauJ3004CZ,com.sec.android.app.shealth,2018-09-17 07:00:03.415,125d9f49-7ab7-4a45-b937-bd5bac59e728.binning_data.json,125d9f49-7ab7-4a45-b937-bd5bac59e728,427.39996,com.sec.android.app.shealth
2018-06-24 23:10:07.791,8827.079,10803,0,1529798400000,3.3888888,OauJ3004CZ,com.sec.android.app.shealth,2018-06-25 07:00:04.030,128bd225-fb0b-4c87-8c90-aec80798a6d3.binning_data.json,128bd225-fb0b-4c87-8c90-aec80798a6d3,381.57996,com.sec.android.app.shealth
2018-05-11 04:07:05.378,6292.67,8059,-2,1517443200000,1.5137794,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.378,148f9de7-d6e5-47f8-ae79-cb62273f50bf.binning_data.json,148f9de7-d6e5-47f8-ae79-cb62273f50bf,267.03998,com.sec.android.app.shealth
2018-09-21 07:47:27.848,10075.2295,12965,-2,1537488000000,1.5129424,VfS0qUERdZ,com.sec.android.app.shealth,2018-09-22 05:55:01.112,14b9a839-9540-4305-af00-3b81a0cf5ff8.binning_data.json,14b9a839-9540-4305-af00-3b81a0cf5ff8,421.03998,com.sec.android.app.shealth
2018-05-11 04:07:05.387,8178.2,10445,-2,1520985600000,1.5336472,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.387,14dde2bf-c955-4b4a-9110-8f4e8b81d3ba.binning_data.json,14dde2bf-c955-4b4a-9110-8f4e8b81d3ba,337.49,com.sec.android.app.shealth
2018-10-06 07:08:25.001,7731.53,10020,-2,1538784000000,1.5103955,VfS0qUERdZ,com.sec.android.app.shealth,2018-10-06 17:15:00.443,1559ac47-b248-4bf1-9953-ad82d3b0d792.binning_data.json,1559ac47-b248-4bf1-9953-ad82d3b0d792,317.8,com.sec.android.app.shealth
2018-08-12 07:35:00.650,8659.06,11216,-2,1534032000000,1.49943,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-12 21:43:34.029,15ac0a91-d7f5-47e1-baec-a49e42781df9.binning_data.json,15ac0a91-d7f5-47e1-baec-a49e42781df9,356.61996,com.sec.android.app.shealth
2018-07-09 14:16:36.199,15058.8,19524,-2,1531094400000,1.3982024,VfS0qUERdZ,com.sec.android.app.shealth,2018-07-10 04:49:58.385,15c807e6-35df-4013-86e0-78ef5f086fed.binning_data.json,15c807e6-35df-4013-86e0-78ef5f086fed,605.7399,com.sec.android.app.shealth
2018-06-22 07:29:42.414,9286.59,11902,0,1529539200000,3.166667,OauJ3004CZ,com.sec.android.app.shealth,2018-06-22 07:29:42.414,1651110d-088e-48e1-b8ec-24e8c2be81af.binning_data.json,1651110d-088e-48e1-b8ec-24e8c2be81af,376.12997,com.sec.android.app.shealth
2018-05-11 04:07:05.385,29574.32,37180,-2,1520294400000,1.5999471,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.385,16d42fbe-ef1d-4729-861c-f0c803c447d0.binning_data.json,16d42fbe-ef1d-4729-861c-f0c803c447d0,1236.72,com.sec.android.app.shealth
2018-08-23 07:00:04.370,5842.5396,7557,0,1534896000000,3.8424952,OauJ3004CZ,com.sec.android.app.shealth,2018-08-23 07:00:04.370,16ed6538-aedd-4d57-bbff-1c32830d4ce4.binning_data.json,16ed6538-aedd-4d57-bbff-1c32830d4ce4,242.28998,com.sec.android.app.shealth
2018-05-29 07:56:04.419,11648.47,15114,-2,1527552000000,1.5028235,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-30 04:41:25.632,1823a2a3-77b0-421f-8af8-6ccee584e0b2.binning_data.json,1823a2a3-77b0-421f-8af8-6ccee584e0b2,481.47998,com.sec.android.app.shealth
2018-05-11 04:07:05.400,13729.97,16864,-2,1524873600000,1.6713309,VfS0qUERdZ,com.sec.android.app.shealth,2018-05-11 04:07:05.400,1962cb0c-f7cf-4aeb-b494-bead739aed7f.binning_data.json,1962cb0c-f7cf-4aeb-b494-bead739aed7f,609.94995,com.sec.android.app.shealth
